"640","{démembrer/désassembler/disjoindre/dissocier/désagréger/séparer/découper/couper/partager/trancher/diviser} DET X en (DET) Y","Décomposition d'objets","Décomposition d'objet","les intrépides explorateurs pourraient trouver là une précieuse ressource d'eau potable et de carburant pour leur fusée à la condition de casser la molécule qui la compose pour en séparer l'hydrogène de l'oxygène . Tout le monde n'est pas convaincu que des eaux vives aient nécessairement creusé ces ravines. On les","Plutôt oui","élément chimique","FR/Volcan/Vulgarisation/corpusFR","séparer l'hydrogène de l'oxygène","oxygène","hydrogène"
"641","{démembrer/désassembler/disjoindre/dissocier/désagréger/séparer/découper/couper/partager/trancher/diviser} DET X en (DET) Y","Décomposition d'objets","Décomposition d'objet","population vit dans les zones du littoral. La côte au vent est plus humide, la côte sous le vent, plus sèche. Particularités Une chaîne de montagnes divise l'île en une région au vent, située au nord-est et plus humide, et une région sous le vent, au sud-ouest,","Plutôt oui","un CT =chaine de montagne, qui est aussi l'acteur de l'action","FR/Volcan/Vulgarisation/corpusFR","divise l'île en une région","une région au vent, une région sous le vent","l'île"
"642","{démembrer/désassembler/disjoindre/dissocier/désagréger/séparer/découper/couper/partager/trancher/diviser} DET X en (DET) Y","Décomposition d'objets","Décomposition d'objet","d'un volcan durant une longue période : plusieurs dizaines ou centaines de milliers d'années. Par un travail de terrain et de laboratoire, on s'efforce d' analyser la structure de l'édifice , la nature des produits qu'il a émis, la fréquence et le style de ses éruptions, Ces","Non","Un seul SN ""structure de l'édifice""","FR/Volcan/Vulgarisation/corpusFR","analyser la structure de l'édifice","",""
"643","{démembrer/désassembler/disjoindre/dissocier/désagréger/séparer/découper/couper/partager/trancher/diviser} DET X en (DET) Y","Décomposition d'objets","Décomposition d'objet","refroidissement. PHENOCRISTAL, Cristal visible à l'oeil nu. PLAQUE LITHOSPHERIQUE, Partie supérieure rigide de la Terre, épaisse de 100 kilomètres environ. La Terre est découpée en une douzaine de plaques formées de lithosphère qui "" flottent "" sur l'asthénosphère. Les plaques sont animées d'un lent mouvement horizontal","Oui","CT","FR/Volcan/Vulgarisation/corpusFR","découpée en une douzaine de plaques","plaques","Terre"
"644","{démembrer/désassembler/disjoindre/dissocier/désagréger/séparer/découper/couper/partager/trancher/diviser} DET X en (DET) Y","Décomposition d'objets","Décomposition d'objet","il est constitué d'un noyau entouré d'une "" chair "", le manteau, lui-même recouvert d'une "" peau "", la croûte. Cette dernière est divisée en une douzaine de morceaux par de longues fissures qui sillonnent le globe comme les sutures d'une balle de tennis (en haut)","Oui","CT","FR/Volcan/Vulgarisation/corpusFR","divisée en une douzaine de morceaux","morceaux","croûte"
"645","{démembrer/désassembler/disjoindre/dissocier/désagréger/séparer/découper/couper/partager/trancher/diviser} DET X en (DET) Y","Décomposition d'objets","Décomposition d'objet",", ou des volcans du Hoggar, au coeur de l'Afrique. Ceux-ci se sont installés au hasard des faiblesses de l'écorce terrestre. L'écorce terrestre est divisée en une douzaine de "" plaques "" jointives, qui flottent sur le magma profond et se déplacent les unes par rapport aux autres. Certaines","Oui","CT","FR/Volcan/Vulgarisation/corpusFR","divisée en une douzaine de "" plaques","plaques jointives","écorce terrestre"
"646","{décomposition/analyse/démembrement/désintégration/disjonction/ découpage/ division/fragmentation/éclatement} de DET X en DET Y","Décomposition d'objets","Décomposition d'objet","Entre la coulée de lave et la coulée pyroclastique, les deux pôles de l'activité volcanique, se situe tout un ensemble de phénomènes intermédiaires : l'activité strombolienne, par exemple, qui correspond à une fragmentation de la lave en une multitude de bombes, lesquelles se séparent du panache éruptif pour suivre des trajectoires balistiques.","Plutôt oui","fragmentation est aussi un CT","FR/Volcan/Vulgarisation/corpusFR","fragmentattion","bombes","lave"
"647","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","Décomposition d'objets","Décomposition d'objet","A l'air libre, elles altèrent les roches de surface qui se décomposent à leur tour, principalement en oxydes métalliques ensuite emportés par les eaux.","oui","","FR/Volcan/Vulgarisation/corpusFR","se décomposent","",""
"648","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","Décomposition d'objets","Décomposition d'objet","A son contact, les roches de surface se corrodent. Elles se décomposent à leur tour, principalement en oxydes métalliques qui seront colportés par les flots.","oui","","FR/Volcan/Vulgarisation/corpusFR","se décomposent","",""
"649","","","","","","","","","",""
"650","","","","","","","","","",""
"651","","","","","","","","","",""
"652","DET Y se {fondre|fusionner|incorporer}                          {en/dans} DET X","type de liaisons entre parties","Fusion","De plus, au niveau du site donneur, la cicatrice transverse sus-pubienne se fond dans la pilosité locale et la mobilisation du lambeau permet d’effectuer une abdominoplastie concomitante susceptible d’améliorer l'image corporelle et la satisfaction des patientes ","Plutôt oui","","FR/Cancer du sein/Scientifique/page302","","",""
"653","DET Y se {fondre|fusionner|incorporer}                          {en/dans} DET X","type de liaisons entre parties","Fusion","Une partie de cette eau pourrait se trouver piégée lors de la mise en place à faible profondeur d’intrusions magmatiques et s’incorporer plus ou moins abondamment à elles et à différents stades de leur évolution","Oui","résolution anaphoreCT","FR/Volcan/Scientifique/12","s'incorporer à","",""
"654","DET Y se {fondre|fusionner|incorporer}                          {en/dans} DET X","type de liaisons entre parties","Fusion","L'oeil est hypnotisé par une série d'explosions, glisse sur une rivière orangée. Il se fond dans l'épais clapotis d'un lac aux rives craquelées.","Non","","FR/Volcan/Vulgarisation/corpusFR","se fond dans","",""
"655","DET Y se {fondre|fusionner|incorporer}                          {en/dans} DET X","Type de liaisons entre parties","Fusion","Il en est de même des zones de subduction, très actives elles aussi, où, comme au large du Japon et du Chili, les plaques continentales plongent les unes sous les autres pour se fondre dans le magma sous-jacent.","Plutôt oui","","FR/Volcan/Vulgarisation/corpusFR","se fondre","",""
"656","DET Y se {fondre|fusionner|incorporer}                          {en/dans} DET X","Type de liaisons entre parties","Fusion","D'autant que Galileo a également repéré trois ovales blancs, qui sont comparables morphologiquement à la Grande Tache rouge. Ces trois ovales blancs ont fini par se fondre en un seul, à la grande surprise des astronomes.","Plutôt oui","répétition du mm motrésolution anaphore","FR/Volcan/Vulgarisation/corpusFR","se fondre","",""
"657","DET Y se {fondre|fusionner|incorporer}                          {en/dans} DET X","TYPE DE LIAISONS ENTRE PARTIES","Fusion","En revanche, si la vitesse d'éjection est élevée, le panache s'incorpore mieux à l'air, qui, réchauffé par le mélange chaud, abaisse la densité du panache","Oui","","FR/Volcan/Vulgarisation/corpusFR","","",""
"658","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","à 6 089, 20 €. Au final, les consommations de ressources restent à la fois très proches en valeur entre les deux stratégies. Quant à leur décomposition intrabranche, celle-ci est quasi strictement identique ; elle se décompose en : 67 % pour l’acquisition des « traitements d’étude », 17 % pour les séances de","plutôt non","","FR/Cancer du sein/Scientifique/page19","se décompose","",""
"659","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","première consultation médicale (le plus souvent faite par le médecin de famille), et le délai lié aux médecins, entre la première consultation médicale et le début du traitement. Mais le délai attribuable aux médecins peut se diviser en deux sous-catégories : un délai dépendant de l’accès à la structure de soins (entre la première consultation médicale effectuée par le médecin de famille et la prise de rendez-vous en centre spécialisé) et un délai dépendant de la structure de soins (entre la prise de rendez-vous et le début du traitement, incluant la première consultation dans l’établissement de santé). ","plutôt oui","","FR/Cancer du sein/Scientifique/page25","se diviser","",""
"660","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","à distance ne peut être évaluée. M0 : Pas de métastases à distance. M1 : Métastases à distance (cellules tumorales dans les ganglions sus-claviculaires = métastase) Que veut dire cTNM et pTNM ? Le système TNM se subdivise en deux : Le stade clinique pré-thérapeutique C’est le stade avant le traitement. Il est désigné par «","plutôt oui","car explications après","FR/Cancer du sein/Vulgarisation/page55","se subdivise","",""
"661","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","Ce calcul, pour aussi simpliste et hypothétique qu’il soit, semble donc corroborer les données ci-dessus. LE PROCESSUS D’HOMOGENEISATION MECANIQUE ET SES ETAPES Le magma basique, en contact avec le magma acide plus froid, se fragmente en micropillows (ou pillows) et en flammes, comme si le magma basique avait été injecté dans l’","oui","","FR/Volcan/Scientifique/10","se fragmente","",""
"662","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","analyses proposées par Bloomfield (1974) ainsi que Ne 18 s’intégrent à la suite du Nevado sur la Fig 9. DISCUSSION - CONCLUSION A ne considérer que ses grandes lignes, l’histoire du Nevado de Toluca se divise en deux périodes très contrastées et de durées très inégales, dont la figure 10 retrace schématiquement l’évolution.","plutôt oui","","FR/Volcan/Scientifique/22","se divise","",""
"663","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","et 2e). A partir de ce stade, chaque unité lavique acquiert une certaine autonomie, et l’ensemble peut être confondu avec un empilement de coulées métriques successives. Stade n° 3 : Certaines unités laviques se fragmentent totalement par coalescence des vésicules, donnant un amas de blocs grossièrement vésiculés dont la taille n’excède pas une","oui","","FR/Volcan/Scientifique/29","se fragmentent","",""
"664","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","du Popocatepetl, la présence d’amphibole - en tant que minéral cardinal - étant exceptionnelle dans les laves de ce volcan. DISCUSSION - PROBLEMES EN SUSPENS - RISQUES Volcanologie Dans ses grandes lignes, l’histoire du Popocatepetl se divise en deux grandes périodes. La période ancienne, correspondant au volcan de base, est longue et homogène du","plutôt oui","","FR/Volcan/Scientifique/44","se divise","",""
"665","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","celles des alignements de cônes volcaniques et des fissures émissives. Comme pour la plaine du Noun, la direction tectonique majeure de la Ligne du Cameroun (N30) est omniprésente. Le Tchabal Gangdaba constitue un horst et se subdivise en deux sous-ensembles. Au sud, se trouve la cuvette du Gapi (1 450 m) où se","plutôt oui","","FR/Volcan/Scientifique/bard3","se subdivise","",""
"666","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","Les termes acides apparaissent bien différents. Il s'agit de trachytes à biotite et amphibole et de rhyolites à biotite et aegyrine. Ces laves contiennent essentiellement de la sanidine, de l'anorthose et du quartz. Elles se subdivisent en comendites, riches en Al2O3 et pauvres en Fe2O3 et en pantellerites (analyses I9 et I33) relativement","oui","","FR/Volcan/Scientifique/bard3","se subdivisent","",""
"667","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets",". Le plus bel exemple actuel de rift sur notre planète est fourni par le système du Rift Est-Africain qui court du triangle de PAfar jusqu’au canal du Mozambique, sur 5 600 km de longueur cumulée. Il se divise en 2 branches principales : le Rift oriental (au nord) et le Rift occidental (au sud)","plutôt oui","","FR/Volcan/Scientifique/geo5","se divise","",""
"668","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","le seul mécanisme actif, la diffusion, met beaucoup de temps à agir sur de grandes distances. On pourrait bien supposer que le magma qui est injecté dans le réservoir contient déjà quelques cristaux et que ceux-ci vont se séparer du liquide pour former une couche d’épaisseur significative. On peut montrer en fait que le temps nécessaire est","plutôt oui","","FR/Volcan/Scientifique/geo8","se séparer","",""
"669","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","au pied du volcan du côté du sud, là où sont réunis les deux bras qui semblent entourer la base de la montagne, se dirige vers le sud sur un espace de près de 2 km. Il se divise alors en deux bras, immenses l’un et l’autre, dirigés à l’ouest et au sud,","plutôt oui","anaphore","FR/Volcan/Scientifique/lave12","se divise","",""
"670","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","sud, et atteignant tous deux un développement de plusieurs kilomètres. La pente de la coulée, très forte tant qu’elle longe les flancs du cône, devient, au contraire, beaucoup plus faible, lorsqu’elle se sépare en deux vastes bras et s’étend au loin dans les plaines doucement inclinées qui continuent au sud le versant","plutôt oui","anaphore","FR/Volcan/Scientifique/lave12","se sépare","",""
"671","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","accompagné d’aucun tremblement de terre. D’après l’historien Juarros, qui assista à cette éruption, « elle ne se produisit pas au sommet de la montagne, mais en bas, à l’endroit où elle se divise en trois pointes, » ce qui veut dire probablement à la base du cône, et permet de supposer","plutôt oui","","FR/Volcan/Scientifique/lave12","se divise","",""
"672","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","qui gicle furieusement. On voit battre le cœur du monstre. L'origine de ces laves étonnantes reste encore une des énigmes de la pétrologie. Il semblerait qu'en profondeur, dans la chambre magmatique, le magma se sépare en deux phases, un peu comme l'huile et le vinaigre (on parle d'immiscibilité). La","plutôt oui","","FR/Volcan/Vulgarisation/corpusFR","se sépare","",""
"673","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","commence. On dirait une bouteille de champagne que l'on débouche. Les bulles de gaz comprimées dans le magma augmentent soudain de volume, devenant d'un coup cent à deux cents fois plus grosses. Le magma se morcelle alors violemment en blocs, en petites pierres et en poussières qui sont projetés en l'air et retombent pour","oui","","FR/Volcan/Vulgarisation/corpusFR","se morcelle","",""
"674","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","contenue dans les coulées qui détruisirent une partie de leur cité en 1973. Souvent, l'intérieur des coulées, en se refroidissant, se contracte, comme de la terre trop sèche. La lave se fissure et se divise en grosses colonnes verticales que l'on appelle des "" orgues "". Il arrive que, plus tard,","oui","","FR/Volcan/Vulgarisation/corpusFR","se divise","",""
"675","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","magma, avant de remonter vers la surface, peut séjourner en profondeur dans un réservoir, entre 2 et 30 kilomètres sous la surface. C'est la chambre magmatique. En arrivant à la surface, le magma se dissocie en : - des produits liquides : laves ; - des produits solides ou solidifiés : blocs, bombes,","oui","","FR/Volcan/Vulgarisation/corpusFR","se dissocie","",""
"676","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","en altitude : cela n'augmente pas significativement la cyclogenèse. Il faudrait pouvoir différencier le réchauffement selon les différentes couches de l'atmosphère, ce que l'on ne sait pas encore faire. "" Les spécialistes des cyclones se partagent en fait selon deux écoles : "" Si le réchauffement crée des conditions plus favorables aux cyclones, dit Franck","plutôt non","","FR/Volcan/Vulgarisation/corpusFR","se partagent","",""
"677","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","que les levées de terre réalisées à titre préventif en début de semaine seraient insuffisantes. Les bulldozers sont donc montés à l'assaut. Une dizaine environ. Ce n'est pas trop quand la coulée a tendance à se diviser en plusieurs bras. Alors a commencé un véritable corps à corps entre l'homme et la montagne. D'","plutôt oui","","FR/Volcan/Vulgarisation/corpusFR","se diviser","",""
"678","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","qui effectue la liaison entre Copenhague et l'Amérique du Sud, avait fait la même constatation au moment de l'éruption du El Chichôn : les hublots de leurs appareils étaient piquetés. Ce sont les roches expulsées qui se fragmentent en particules (de silice, de calcium, de sodium, de potassium...) dont les plus grosses","oui","","FR/Volcan/Vulgarisation/corpusFR","se fragmentent","",""
"679","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","élever de 10 % la densité de la roche. Et si l'on augmente à nouveau température et pression pour simuler ce qui se passe à une profondeur de 700 km, celle du manteau inférieur ? Le spinelle se décompose alors en pérovskite et, dans une moindre mesure, en magnésiowüstite ; ce qui accroît encore la densité de","oui","","FR/Volcan/Vulgarisation/corpusFR","se décompose","",""
"680","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","avait eu des conséquences jusqu'à 5000 kilomètres. L'explosion se produit pratiquement sans prévenir (en quelques jours ou quelques semaines). Le magma chargé de gaz toxiques qui se rue à la surface de la Terre se fragmente en poussières, blocs de pierre, etc., engendrant une rapide nuée ardente qui extermine tout ce qu'","oui","","FR/Volcan/Vulgarisation/corpusFR","se fragmente","",""
"681","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","Hawaii, le Nyiragongo au Zaïre, l'Erta-Ale en Ethiopie et l'Erebus dans les glaces de l'Antarctique. Les projections de cendres et de bombes Certains volcans éjectent le magma d'une manière violemment explosive. Celui-ci se fragmente alors en particules, projetées dans le ciel, qui se solidifient au contact de l'air et retombent plus","oui","anaphore","FR/Volcan/Vulgarisation/corpusFR","se fragmente","",""
"682","DET X se {analyser/décomposer/démembrer/désassembler/disjoindre/ dissocier/ désagréger/ séparer/découper/couper/partager/trancher/diviser/fractionner/fragmenter} {en /en donnant} DET Y","décomposition d'objets","décomposition d'objets","concentriques un noyau, un manteau et une croûte (fig. 3). Le noyau métallique, essentiellement composé de fer et de nickel, occupe le centre avec un rayon d'environ 3 500 km. Il se subdivise en une "" graine "" interne solide et un noyau externe liquide. Le manteau solide le surplombe sur près","oui","","FR/Volcan/Vulgarisation/corpusFR","se subdivise","",""
"683","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion","%) du groupe B, 16 (94 %) du groupe C hode d’apprentissage Quarante-trois (88 %) chirurgiens ont déclaré avoir fait une courbe d’apprentissage, les 6 n’ayant pas fait de courbe appartenaient , pour 4 d’entre eux, au groupe A, pour les 2 autres au groupe C. Le","plutôt oui","appartenance à un groupe de travail. Pertinent ?","FR/Cancer du sein/Scientifique/page12","appartenaient","",""
"684","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion","individuelles du patient. Ces trois derniers éléments sont inutiles dès lors qu’une mutation constitutionnelle délétère BRCA1 ou 2 a été identifiée ou lorsque les analyses se sont révélées négatives (absence de mutation identifiée) chez une personne appartenant à une famille où une MCD a été mise en évidence. Ce point est détaillé dans le rapport de","plutôt oui","pas pertinent","FR/Cancer du sein/Scientifique/page18","appartenant","",""
"685","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion","avec leur médecin et que 29 % disaient en avoir tenu compte dans leurs prises de décision. On peut arguer que toutes ces études sont rétrospectives et comportent des biais de souvenir ou de sélection (par exemple femmes appartenant à des groupes correspondant sur internet). Néanmoins, ces chiffres donnent à réfléchir puisqu’au moins un tiers","plutôt non","pas pertinent","FR/Cancer du sein/Scientifique/page2","appartenant","",""
"686","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion","inhibiteurs spécifiques utilisables actuellement, appelés inhibiteurs de troisième génération, sont dépourvus des effets endocriniens de l’AMG ; de plus, ils montrent une puissance biologique bien supérieure qui se traduit par une meilleure efficacité clinique. Ils appartiennent à deux grandes classes : * – les inhibiteurs de type 1, de structure stéroïdienne, entraînent une inhibition","Oui","car description des deux classes ds la suite","FR/Cancer du sein/Scientifique/page22","appartiennent","",""
"687","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion","], et le classique RE a alors été renommé REα. Ils sont codés par deux gènes distincts positionnés sur les locus chromosomiques (6q25-1 pour REα et 14q22-24 pour REβ) [7, 8]. Ils appartiennent à la superfamille des récepteurs nucléaires, qui comprend les récepteurs des différentes hormones stéroïdes, des hormones thyroïdiennes et","oui","CT ? Anaphore","FR/Cancer du sein/Scientifique/page24","appartiennent","",""
"688","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion",") et BRCA2 localisés respectivement sur les chromosomes 17 et 13. Les altérations des gènes BRCA sont à l’origine de 65 % des cas familiaux comptant au moins quatre cas survenus avant l’âge de 60 ans et appartenant à la même branche parentale [2]. Il existe donc vraisemblablement un ou plusieurs autres gènes responsables de","plutôt oui","","FR/Cancer du sein/Scientifique/page28","appartenant","",""
"689","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion","I, stéroïdiens, analogues de l’androstènedione, substrats de l’aromatase, liés de façon covalente et irréversible au site catalytique de l’enzyme. Le formestane (Lentaron ®) et l’exémestane (Aromasine ®) appartiennent à cette famille. Les inhibiteurs de type II, non stéroïdiens, sont des dérivés azolés ; ils comprennent","Oui","à cette famille de médicaments","FR/Cancer du sein/Scientifique/page37","appartiennent","",""
"690","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion","annexe. Le niveau supposé de risque et la réalité de la demande de la consultante sont deux critères importants, mais c’est le second qui doit, en priorité, être pris en compte. Pour une personne appartenant à une famille à très haut risque, qui est réticente, la consultation doit être différée, peut-être indéfiniment","plutôt oui","","FR/Cancer du sein/Scientifique/page50","appartenant","",""
"691","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion","validée par une réunion de concertation pluridisciplinaire où étaient présents : un oncologue, au moins un chirurgien ayant une expérience importante de la chirurgie mammaire et des techniques de reconstruction, un médecin spécialiste de l’évaluation des risques appartenant à une équipe pluridisciplinaire déclarée en oncogénétique. L’avis du psychologue clinicien doit être pris en compte à ce","plutôt oui","","FR/Cancer du sein/Scientifique/page50","appartenant","",""
"692","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion","nombre de critères doivent être respectés : – L’indication doit avoir été validée par une réunion de concertation pluridisciplinaire où étaient présents au moins : un oncologue, un chirurgien, un médecin spécialiste de l’évaluation des risques appartenant à une équipe pluridisciplinaire déclarée en oncogénétique. L’avis du psychologue clinicien doit être pris en compte à ce","plutôt oui","","FR/Cancer du sein/Scientifique/page50","appartenant","",""
"693","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion","La période de prise en charge était définie par la date de diagnostic ou, à défaut, la date de première intervention. La prise en charge dans R2c signifie qu’au moins un médecin ayant traité la patiente appartient à ce réseau. Cinq facteurs indispensables à la décision de chimiothérapie adjuvante ont été analysés : le nombre de","oui","","FR/Cancer du sein/Scientifique/page6","appartient","",""
"694","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion","anticorps sont des protéines produites par les lymphocytes, cellules du système immunitaire qui protègent l'organisme contre les infections. Le rôle des anticorps est de neutraliser certaines substances chimiques, les antigènes, qu'ils reconnaissent comme n' appartenant pas à l'individu. Les anticorps sont importants pour lutter contre les infections et les cancers. Certains anticorps","oui","négation","FR/Cancer du sein/Vulgarisation/page16","appartenant","",""
"695","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion",", apportez vos documents administratifs : carte vitale et son attestation, pièce d'identité, papiers de prise en charge à 100 % si c'est le cas et de mutuelle. Les patientes venant de l'étranger et appartenant aux pays de la Communauté européenne doivent se munir du formulaire E112. Pour les patientes venant de pays n'","plutôt non","","FR/Cancer du sein/Vulgarisation/page17","appartenant","",""
"696","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion","à 100 % si c'est le cas et de mutuelle. Les patientes venant de l'étranger et appartenant aux pays de la Communauté européenne doivent se munir du formulaire E112. Pour les patientes venant de pays n' appartenant pas à la Communauté européenne, il est demandé une avance des frais. Le coût moyen de l'acte","plutôt non","","FR/Cancer du sein/Vulgarisation/page17","appartenant","",""
"697","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion",", apportez vos documents administratifs : carte vitale et son attestation, pièce d'identité, papiers de prise en charge à 100 % si c'est le cas et de mutuelle. Les patientes venant de l'étranger et appartenant aux pays de la Communauté européenne doivent se munir du formulaire E112. Pour les patientes venant de pays n'","plutôt non","pertinence","FR/Cancer du sein/Vulgarisation/page18","appartenant","",""
"698","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion","à 100 % si c'est le cas et de mutuelle. Les patientes venant de l'étranger et appartenant aux pays de la Communauté européenne doivent se munir du formulaire E112. Pour les patientes venant de pays n' appartenant pas à la (échographie, IRM) ainsi que les résultats d'examens concernant vos seins (prélèvements,","plutôt non","","FR/Cancer du sein/Vulgarisation/page18","appartenant","",""
"699","DET Y appartenir à DET X","TYPE DE LIAISONS ENTRE PARTIES","Inclusion",", apportez vos documents administratifs : carte vitale et son attestation, pièce d'identité, papiers de prise en charge à 100 % si c'est le cas et de mutuelle. Les patientes venant de l'étranger et appartenant aux pays de la Communauté européenne doivent se munir du formulaire E112. Pour les patientes venant de pays n'","plutôt non","","FR/Cancer du sein/Vulgarisation/page19","appartenant","",""
